"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"642","COR067-01","","0.000000","0.000000","COR067","AR-W","1413","Carolina","Corrientes","Goya"
"589","COR067-02","","-29.137028","-59.178306","COR067","AR-W","1413","Carolina","Corrientes","Goya"
"310","CHA001-01","","0.000000","0.000000","CHA001","AR-H","1346","Aviá Teraí","Chaco","Independencia"
"856","SJU017-01","","0.000000","0.000000","SJU017","AR-J","1595","Valle Fértil","San Juan","Valle Fertil"
"783","SJU017-02","","-30.634528","-67.467056","SJU017","AR-J","1595","Valle Fértil","San Juan","Valle Fertil"
"417","BUE089-01","Parque GraSM.","-35.438139","-60.878167","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"881","BUE089-02","","-35.607681","-60.917092","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"357","BUE089-03","Plaza Municipio","-35.444056","-60.884778","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"418","BUE089-04","Plaza","-35.449028","-60.897917","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"882","BUE089-05","","-35.237794","-60.824925","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"416","BUE089-06","Plaza Esc Comer","-35.450667","-60.882917","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"419","BUE089-07","Plaza España","-35.437917","-60.881611","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"883","BUE089-08","","-35.553842","-60.560544","BUE089","AR-B","1284","Nueve de Julio","Buenos Aires","Nueve de Julio"
"814","NEU023-01","","-36.753784","-70.762877","NEU023","AR-Q","1552","Manzano Amargo","Neuquén","Minas"
"330","COR030-01","","-29.176248","-56.641592","COR030","AR-W","1415","La Cruz","Corrientes","San Martin"
"1157","RNO068-01","","0.000000","0.000000","RNO068","AR-R","1572","Rincón Treneta","Río Negro","Nueve de Julio"
"839","BUE046-01","","-36.651008","-57.792496","BUE046","AR-B","1240","General Guido","Buenos Aires","General Guido"
"753","BUE046-02","PD General Guido","-36.641810","-57.793289","BUE046","AR-B","1240","General Guido","Buenos Aires","General Guido"
"1208","SFE326-01","","0.000000","0.000000","SFE326","AR-S","1689","Susana","Santa Fe","Castellanos"
"793","SLU011-01","","0.000000","0.000000","SLU011","AR-D","1601","Carolina","San Luis","Coronel Pringles"
"279","BUE131-01","Vicente Lopez - Estacion Alvarez","-34.537294","-58.476604","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"287","BUE131-02","Vicente Lopez - Alsina","-34.523379","-58.483890","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"274","BUE131-03","Vicente Lopez- Estacion Haedo","-34.534858","-58.477816","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"282","BUE131-04","Vicente Lopez - Italia II","-34.522442","-58.484410","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"290","BUE131-05","Florida","-34.538423","-58.513497","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"277","BUE131-06","Vicente Lopez - San Martin","-34.530125","-58.480228","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"285","BUE131-07","Vicente Lopez - Vergara","-34.531043","-58.479725","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"410","BUE131-08","Estacion Gral las Heras","-34.535823","-58.477345","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"280","BUE131-09","Vicente Lopez - Las Heras","-34.520089","-58.485620","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"288","BUE131-10","Vicente Lopez - Libertad","-34.528077","-58.481248","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"232","BUE131-11","Estación MalaVer- Vicente Lopez","-34.525288","-58.482847","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"275","BUE131-12","Vicente Lopez - Santa Rosa","-34.534026","-58.478260","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"283","BUE131-13","Vicente Lopez - Las Heras II","-34.520089","-58.485620","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"408","BUE131-14","Estacion Gral lavalle","-34.519205","-58.486151","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"278","BUE131-15","Vicente Lopez - Laprida","-34.537992","-58.476266","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"286","BUE131-16","Vicente Lopez - Roca","-34.533054","-58.478693","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"233","BUE131-17","Estación Yrigoyen- Vicente Lopez","-34.527202","-58.481790","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"281","BUE131-18","Vicente Lopez - Italia","-34.526132","-58.482418","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
"289","BUE131-19","Vicente Lopez - Urquiza","-34.532058","-58.479170","BUE131","AR-B","1326","Vicente López","Buenos Aires","Vicente Lopez"
