"id","start_date","lat","lon","l3","rooms","surface_total","surface_covered","price","currency","property_type","operation_type"
"XSIK9vKeYHofNRerIDtP6g==","2019-04-14",-34.5921145,-58.3972402,"Recoleta",2,39,39,135000,"USD","Departamento","Venta"
"SITpzoQihKPsWmzXoEzcJQ==","2019-04-14",-34.6402062,-58.4242662,"Parque Chacabuco",2,48,40,105000,"USD","Departamento","Venta"
"Te7H8MxLdk10pveAHmts4w==","2019-04-14",-34.6402062,-58.4242662,"Parque Chacabuco",2,42,34,86000,"USD","Departamento","Venta"
"akE524gsiVhP6Y2yte0kkA==","2019-04-14",-34.5912417048,-58.4026851027,"Recoleta",4,85,76,280000,"USD","Departamento","Venta"
"3IeUBRRP2yRjogp+sqj29w==","2019-05-01",-34.5910112,-58.3908362,"Recoleta",4,115,95,350000,"USD","Departamento","Venta"
"2HqulbyIiL3djE5B3y+AJg==","2019-05-01",-34.5840179,-58.3997385,"Recoleta",2,34,34,112000,"USD","Departamento","Venta"
"wSSOoXepHoGqOGN9NoryQg==","2019-05-01",-34.569854207,-58.4308466423,"Las Cañitas",3,143,120,490000,"USD","Departamento","Venta"
"j2lg3OksaqREc62/L8lVSQ==","2019-05-01",-34.5880865,-58.3841683,"Recoleta",5,154,152,550000,"USD","Departamento","Venta"
"FG/HsX8jrJWyhBX5tSAVQA==","2019-05-01",-34.594257,-58.385916,"Recoleta",5,180,180,620000,"USD","Departamento","Venta"
"FAxKDntvtRRJFJQ+a5pJeg==","2019-05-01",-34.5917921127,-58.3792259491,"Recoleta",6,462,328,1250000,"USD","Departamento","Venta"
"AXTJbPe/IDgsIUzhSxRQ4w==","2019-05-01",-34.5675097633,-58.4378019864,"Las Cañitas",5,175,133,450000,"USD","Departamento","Venta"
"j2yUSQMQJMNHxFULq1QaHQ==","2019-06-21",-34.59628,-58.415086,"Recoleta",2,41,41,130000,"USD","Departamento","Venta"
"HPeN4RzmvhWz6+Zy1WJQmQ==","2019-06-21",-34.592606,-58.412209,"Recoleta",2,38,36,130000,"USD","Departamento","Venta"
